ZZ_APP_ID,ZZ_CIN_ID,ZZ_ACCT_ID,applic_date,transaction_type,transaction_amount,transaction_narrative,PrimaryCategoryDescription,SubCategoryDescription,VendorDescription,RecurrenceEventId,RecurrenceType,merchant_MCC,TRANSACTION_DATE,trans_id_app,Segment,ZZ_JOINT,CIN_M_OR_J,appsubject,cancelled_transaction,trans_id_cin,card_type,Deb_Cred_Flag,Transaction_Description2,MCC_1,MCC_Plus,MCC_AS,MCC_Label,PrimaryCategory_MCC_AS,SubCategory_MCC_AS,Enhance_PrimaryCategory,Enhance_SubCategory
10195,100028,10000134,28/11/2016,D/D,-64,SE GAS LIMITED,Utilities,Energy Providers,Southern Electric,17995771,FirstWorkingDay,,02/11/2015,10195|000001,Segment2_MTG,1,M,1,,,,Debit,SE GAS LIMITED,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,D/D,-1219.46,HALIFAX,Rent and Mortgage,Banks And Building Societies,Halifax,17995772,FirstWorkingDay,,02/11/2015,10195|000005,Segment2_MTG,1,M,1,,,,Debit,HALIFAX,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Rent and Mortgage,Banks And Building Societies
10195,100028,10000134,28/11/2016,D/D,-189.61,SHAWBROOK,Financial Services,Personal Loans,Shawbrook,17995775,Monthly,,20/11/2015,10195|000021,Segment2_MTG,1,M,1,,,,Debit,SHAWBROOK,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Financial Services,Personal Loans
10195,100028,10000134,28/11/2016,D/D,-64,SE GAS LIMITED,Utilities,Energy Providers,Southern Electric,17995771,FirstWorkingDay,,01/12/2015,10195|000037,Segment2_MTG,1,M,1,,,,Debit,SE GAS LIMITED,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Energy Providers
10195,100028,10000134,28/11/2016,POS -,-22,NEXT 0209 BLUEWATER GREENHITHE,Shopping (Fashion),General Fashion,Next,,,5651,08/11/2015,10195|000013,Segment2_MTG,1,M,1,,,,Debit,NEXT 0209 BLUEWATER GREENHITHE,5651,Clothing and Retail,Shopping (Fashion)|General Fashion,FAMILY CLOTHING STORES,Shopping (Fashion),General Fashion,Shopping (Fashion),General Fashion
10195,100028,10000134,28/11/2016,POS -,-324.99,ARGOS GRAVESEND,Shopping (Discretionary),General Catalogues,Argos,,,5310,27/11/2015,10195|000029,Segment2_MTG,1,M,1,,,,Debit,ARGOS GRAVESEND,5310,Shopping Home Products,Shopping (Household Essentials)|Discount Stores,DISCOUNT STORES,Shopping (Household Essentials),Discount Stores,Shopping (Discretionary),General Catalogues
10195,100028,10000134,28/11/2016,DPC,-51.96,CALL REF.NO. 0000,Transfers / Other,Bank Transfer,,,,,14/12/2015,10195|000045,Segment2_MTG,1,M,1,,,,Debit,CALL REF.NO. 0000,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,Bank Transfer
10195,100028,10000134,28/11/2016,POS -,-14.8,EZY CLEAN WINDOWS LTD MAIDSTONE,Misc Card Spend,,,,,7349,12/10/2016,10195|000296,Segment2_MTG,1,M,1,,,,Debit,EZY CLEAN WINDOWS LTD MAIDSTONE,7349,Shopping Home Services,Services|Cleaning Services,"CLEANING AND MAINTENANCE, JANITORIAL SERVICES",Services,Cleaning Services,Services,Cleaning Services
10195,100028,10000134,28/11/2016,D/D,-44.9,SOUTHERN WATER,Utilities,Water Companies,Southern Water,17995781,FirstWorkingDay,,01/06/2016,10195|000177,Segment2_MTG,1,M,1,,,,Debit,SOUTHERN WATER,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Utilities,Water Companies
10195,100028,10000134,28/11/2016,BAC,2400,REASON A M    CD,Transfers / Other,,,17995779,Monthly,,27/06/2016,10195|000193,Segment2_MTG,1,M,1,,,,Credit,REASON A M    CD,,Uncategorized MCC code,Unavailable MCC code,,Unavailable MCC code,,Transfers / Other,
